"[0.99987147 0.99987147 1.         0.96946821 0.99987147 0.62235511
 0.56829205 0.1383582  0.23509552 0.1383582  0.08483394 0.
 0.        ]"
"[0.84414712 0.84414712 1.         0.95308361 0.84414712 0.84414712
 0.84414712 0.84414712 0.97585808 0.84414712 0.84414712 0.60085598
 0.59587913 0.7908204  0.74040084 0.78872255 0.72507201 0.70906505
 0.68959236 0.53732198 0.51908619 0.47547071 0.4267232  0.42647527
 0.51696682 0.35690848]"
"[0.84933622 0.84933622 0.84933622 0.84933622 1.         0.84933622
 0.89288782 0.84933622 0.84933622 0.92804942 0.98739152 0.84933622
 0.89288782 0.84933622 0.84933622 0.84933622 0.69397787 0.69114831
 0.84933622 0.84933622 0.84530291 0.80578462 0.80708044 0.66698232
 0.62045219 0.72394374 0.7810462  0.75628239 0.75536656 0.70119262
 0.70461013 0.64713538 0.70947834 0.6420695  0.6082244  0.57314032
 0.56854152 0.51973132 0.62578927 0.50208262 0.49717382 0.4738566 ]"
"[0.98909074 0.96478974 0.87558014 0.85334445 1.         0.83859806
 0.83859806 0.79279159 0.79279159 0.79279159 0.79279159 0.97601747
 0.79279159 0.74698511 0.74698511 0.74698511 0.74698511 0.74698511
 0.74698511 0.81765436 0.70983762 0.59388378 0.70588778 0.60099181
 0.48177733 0.74698511 0.47925032 0.52607922 0.47773433 0.49336611
 0.39709104 0.38898183 0.37802549 0.37237377 0.36670942 0.35336237
 0.33782454 0.32465167]"
"[1.         0.9523043  0.90706015 0.60489996 0.46422749 0.41943895
 0.37485865 0.34404619 0.31958896 0.31958896 0.31958896 0.31958896
 0.34404619 0.39515431 0.40320878 0.36139887 0.33304874 0.34404619
 0.24696658 0.16334675 0.2989303  0.19652497 0.17089646 0.28515108
 0.31118881 0.11737526 0.14988697 0.2209822  0.10807705 0.13253429
 0.10807705 0.11737526 0.08361982 0.18644844 0.31958896 0.06626714
 0.09707961 0.06626714 0.04180991 0.04180991 0.04180991 0.04180991
 0.04180991 0.04180991 0.15471506 0.21780679 0.23350679 0.10807705
 0.04180991 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.04180991 0.06626714]"
"[0.94762948 0.8347764  0.8347764  0.8347764  1.         0.8347764
 0.8347764  0.61062049 0.48888094 0.83597711 0.64980405 0.61761385
 0.59439265 0.56263798 0.62987215 0.52783904 0.44045511 0.42368829
 0.47173131 0.39078891]"
"[1.         0.82456787 0.82456787 0.82456787 0.82456787 0.8995972
 0.83207088 0.82456787 0.93448385 0.82456787 0.87190611 0.82456787
 0.86332135 0.72366262 0.74738355 0.6738972  0.52018496 0.5122082
 0.75033956 0.72242677 0.65972716 0.52072061 0.54942676 0.52249802
 0.50169312 0.4817811  0.44338518 0.43944504 0.42496861 0.55907263
 0.39394541 0.38976504 0.29665863 0.28402942 0.26579047]"
"[0.84414712 0.84414712 1.         0.95308361 0.84414712 0.84414712
 0.84414712 0.84414712 0.97585808 0.84414712 0.84414712 0.60085598
 0.59587913 0.7908204  0.74040084 0.78872255 0.72507201 0.70906505
 0.68959236 0.53732198 0.51908619 0.47547071 0.4267232  0.42647527
 0.51696682 0.35690848]"
"[1.         0.91299104 0.91299104 0.71462556 0.64101809 0.88155148
 0.7731161  0.73802803 0.91299104 0.75492948 0.53961781 0.50394529
 0.47107826 0.47087121 0.44100717 0.40859188 0.55577928 0.22891447]"
"[1.         0.80958759 0.77849014 0.77849014 0.77849014 0.77849014
 0.77849014 0.86268466 0.93286537 0.83161097 0.3834882  0.39130512
 0.41608959 0.35444475 0.23688869 0.22958439 0.10624165 0.05312083
 0.        ]"
"[1.         0.90728021 0.78603354 0.78603354 0.78603354 0.64492038
 0.6802438  0.67600186 0.56478093 0.56035113 0.68231259 0.66168447
 0.5661573  0.52123766 0.46967885 0.44244315 0.43398343 0.4299739
 0.41508991 0.40959589 0.38079612 0.36374    0.33829417 0.244986
 0.19801964]"
"[1.         0.93088789 0.87858664 0.83123847 0.79076735 0.79076735
 0.85491255 0.79076735 0.75029623 0.74519372 0.94825696 0.81444143
 0.81444143 0.82646226 0.79076735 0.85491255 0.76411213 0.87858664
 0.69822235 0.75029623 0.75029623 0.75029623 0.80710215 0.7569444
 0.7011055  0.61931638 0.63733851 0.57514641 0.60902222 0.73351942
 0.62682929 0.72782636 0.590341   0.66080215 0.58662809 0.64984124
 0.62985516 0.57132068 0.62350368 0.61147708 0.55768898 0.58964877]"
"[1.         0.60348229 0.57767903 0.72842196 0.67898442 0.53356098
 0.55998864 0.66199614 0.49107302 0.59679261 0.49054441 0.45612779
 0.60994569 0.38281908 0.32491082 0.30748786 0.28305231 0.05184648]"
"[1.         0.89132188 0.93676283 0.77506452 0.73365637 0.69270584
 0.69517581 0.68984308 0.68984308 0.76238807 0.81987862 0.68984308
 0.68984308 0.68984308 0.68984308 0.68984308 0.68984308 0.74178439
 0.68984308 0.66667649 0.68984308 0.68984308 0.63687172 0.51417123
 0.59549674 0.49165875 0.64699269 0.57336124 0.63343169 0.60243279
 0.59778278 0.56645952 0.5429117  0.49020792 0.50517846 0.52143578
 0.47285454 0.50490905]"
"[0.99466311 0.95861618 0.9621437  0.96145903 0.86810745 0.92908843
 0.83302325 0.80253276 0.84390578 0.7783311  1.         0.91868151
 0.73695808 0.73695808 0.73695808 0.73695808 0.73695808 0.73695808
 0.73695808 0.73695808 0.88008521 0.84390578 0.7783311  0.7783311
 0.84612202 0.83302325 0.7783311  0.83302325 0.84390578 0.7783311
 0.73695808 0.80253276 0.7783311  0.80253276 0.85310683 0.73695808
 0.73695808 0.73695808 0.5726917  0.73695808 0.6560453  0.73695808
 0.71345716 0.66152769 0.63725671 0.67261417 0.59379022 0.58796985]"
"[0.93792818 1.         0.76566982 0.76566982 0.94001232 0.93792818
 0.65910897 0.54590976 0.6433016  0.68604377 0.54671318 0.38741082]"
"[1.         0.63652558 0.61162176 0.77310732 0.60858721 0.55432436
 0.47035681 0.4448179  0.27027672]"
"[0.86250294 0.81733892 0.96572088 0.92841673 1.         0.62319897
 0.72701089 0.72701089 0.50951109 0.6535588  0.48799437 0.48766575
 0.71881976 0.6756742  0.46299811 0.61817191 0.57072071 0.56436299
 0.42121901 0.48562069 0.35601181 0.34871585 0.47371833 0.34424247
 0.33577767 0.33229659 0.32945437 0.29740335 0.29603155 0.26456995
 0.23349457 0.21711945 0.19185347 0.25745475]"
"[0.90301582 0.83593859 1.         0.93240167 0.9388585  0.630443
 0.60275149 0.72561499 0.56545877 0.65740873 0.56232266 0.62956969
 0.50624027 0.50373817 0.52914947 0.43277753 0.38691117 0.33843817
 0.29645203 0.12017281]"
"[0.8424053  1.         0.79064124 0.78987374 0.78987374 0.88665434
 0.78987374 0.51322488 0.611171   0.39884365 0.31029821 0.05253157]"
"[0.86363009 0.86363009 1.         0.86363009 0.86363009 0.86363009
 0.86363009 0.71063111 0.86363009 0.83648147 0.76704947 0.67579306
 0.86363009 0.66335332 0.84011943 0.65937753 0.86363009 0.78980844
 0.6110129  0.60747574 0.680857   0.67661307 0.62282129 0.86363009
 0.58633619 0.75059852 0.79008215 0.76341175 0.7682209  0.79068328
 0.76242551 0.80821903 0.65492927 0.66169053 0.62867011 0.64586001
 0.66139462 0.60929654 0.62636374 0.62483421 0.56638069]"
"[0.90279664 0.90279664 0.90279664 1.         0.90279664 0.90279664
 0.90279664 0.89167215 0.90279664 0.52225505 0.80662926 0.81604073
 0.80741282 0.61092071 0.50727637 0.3285706 ]"
"[1.         0.91915048 0.81712975 0.81712975 0.93557215 0.81712975
 0.81712975 0.92590493 0.72632529 0.72907124 0.61556426 0.55161495
 0.55008645 0.62220017 0.544088   0.81712975 0.75686782 0.65268928
 0.61048936 0.46737695 0.45793434 0.44760511 0.53701047 0.42896612
 0.40922393 0.33356489 0.33115181 0.31574522 0.27506409 0.13185989]"
"[0.94801091 1.         0.60519012 0.81629709 0.60634824 0.46579912
 0.40113403 0.39712103 0.449074   0.31515135 0.39712103 0.14585043
 0.1978034  0.17258403 0.34591386 0.21663999]"
"[1.         0.82409891 0.94196683 0.80085233 0.72137173 0.72137173
 0.72137173 0.78435861 0.72137173 0.64390995 0.74381587 0.72137173
 0.78435861 0.84059263 0.72137173 0.62480363 0.72137173 0.61545521
 0.53624489 0.69861255 0.64597751 0.62011581 0.53191532 0.53961797
 0.50458993 0.56950937 0.52345137 0.54746732 0.67442433 0.59375259
 0.59326195 0.58385429 0.54531879 0.51904939 0.46662616 0.45880035
 0.42478901 0.50316516 0.41951871 0.40920254 0.40360578 0.34778898
 0.33368359 0.33125091]"
"[0.96413492 0.96413492 0.80488036 1.         0.80726175 0.66356405
 0.80488036 0.80488036 0.59053505 0.77964703 0.5907008  0.56789468
 0.255649  ]"
"[0.97938848 0.91493322 0.91493322 0.91493322 0.91493322 0.91493322
